word,meaning,phonetic,example,hit
"absolutely","ad.完全地；绝对地","ˈæbsəluːtli","",1
"acceleration","n.加速(度)","ækˌseləˈrei∫ən","",1
"acceptable","a.可接受/合意的","əkˈseptəbl","",1
"acceptance","n.接受，验收；承认","əkˈseptəns","",1
"accessory","n.同谋，从犯；附件","ækˈsesəri","",1
"accidental","a.偶然的；非本质的","ˌæksiˈdentl","",1
"accommodate","vt.容纳;供应,供给","əˈkɔmədeit","",1
"accord","vt.使一致；给予","əˈkɔːd","",1
"accordance","n.一致；和谐；授予","əˈkɔːdəns","",1
"accordingly","ad.因此，所以；照着","əˈkɔːdiŋli","",1
"accustom","vt.使习惯","əˈkʌstəm","",1
"actually","ad.实际上；竟然","ˈækt∫uəli","",1
"acute","a.尖的，锐的；敏锐的","əˈkjuːt","",1
"adjective","n.形容词 a.形容词的","ˈædʒiktiv","",1
"advanced","a.先进的；高级的","ədˈvɑːnst","",1
"adverb","n.副词","ˈædvəːb","",1
"advisable","n.明智的；可取的","ədˈvaizəbl","",1
"agony","n.极度痛苦","ˈægəni","",1
"alloy","n.合金；(金属的)成色","ˈælɔi","",1
"alter","vt.改变，变更；改做","ˈɔːltə","",1
"amongst","prep 在…之中(=among)","əˈmʌŋst","",1
"ampere","n.安培","ˈæmpiər","",1
"amplify","vt.放大，增强；扩大","ˈæmplifai","",1
"analyse","vt.分析，分解，解析","ˈænəlaiz","",1
"announcer","n.宣告者；播音员","əˈnaunsə","",1
"anyway","ad.无论如何","ˈeniwei","",1
"apparatus","n.器械，仪器；器官","ˌæpəˈreitəs","",1
"appliance","n.用具，器具，器械","əˈplaiəns","",1
"approximate","a.近似的 vt.近似","əˈprɔksimeit","",1
"arabian","a.阿拉伯的","əˈreibjən","",1
"arouse","vt.引起，唤起；唤醒","əˈrauz","",1
"artistic","a.艺术的；艺术家的","ɑːˈtistik","",1
"assemble","vt.集合，召集；装配","əˈsembl","",1
"assembly","n.集合；集会；装配","əˈsembli","",1
"assignment","n.任务，指定的作业","əˈsainmənt","",1
"atmospheric","a.大气的;大气层的","ˌætməsˈferik","",1
"atomic","a.原子的；原子能的","əˈtɔmik","",1
"attentive","a.注意的；有礼貌的","əˈtentiv","",1
"aural","a.耳的，听觉的","ˈɔːrəl","",1
"auto","n.(口语)汽车","ˈɔːtəu","",1
"automobile","n.汽车，机动车","ˌɔːtəˈməubil","",1
"auxiliary","a.辅助的；附属的","ɔːgˈziljəri","",1
"aviation","n.航空，航空学","ˌeiviˈei∫ən","",1
"await","vt.等候，期待","əˈweit","",1
"awfully","ad.令人畏惧的；很","ˈɔːfuli","",1
"ax","n.斧子","æks","",1
"axis","n.轴，轴线；中心线","ˈæksis","",1
"bacteria","n.细菌","bækˈtiəriə","",1
"banner","n.旗，旗帜，横幅","ˈbænə","",1
"barn","n.谷仓；牲口棚","bɑːn","",1
"barrel","n.桶；圆筒；枪管","ˈbærəl","",1
"basically","ad.基本上","ˈbeisikəli","",1
"beggar","n.乞丐，穷人","ˈbegə","",1
"beginner","n.初学者，生手","biˈginə","",1
"beloved","a.为…的爱的 n.爱人","biˈlʌvid","",1
"berry","n.浆果(如草莓等)","ˈberi","",1
"best","a.最好的；最大的","best","",1
"bet","vt.&vi.&n.打赌","bet","",1
"Bible","n.基督教《圣经》","ˈbaibl","",1
"bind","vt.捆绑；包扎；装钉","baind","",1
"bitterly","ad.苦苦地；悲痛地","ˈbitəli","",1
"blade","n.刀刃，刀片；叶片","bleid","",1
"blast","n.爆炸，冲击波 vt.炸","blɑːst","",1
"blaze","n.火；闪光 vi.燃烧","bleiz","",1
"blend","vt.&vi.&n.混和","blend","",1
"blossom","n.花，开花 vi.开花","ˈblɔsəm","",1
"boast","vi.自夸 vt.吹嘘","bəust","",1
"bold","a.大胆的；冒失的","bəuld","",1
"bolt","n.螺栓；插销 vt.闩门","bəult","",1
"bore","vt.使厌烦；钻，挖","bɔː","",1
"bosom","n.胸，胸部；内心","ˈbuzəm","",1
"bother","vt.烦扰，迷惑 n.麻烦","ˈbɔðə","",1
"bough","n.树枝","bau","",1
"brandy","n.白兰地酒","ˈbrændi","",1
"brass","n.黄铜；黄铜器","brɑːs","",1
"breadth","n.宽度，幅度；幅面","bredθ","",1
"breed","n.品种 vt.使繁殖","briːd","",1
"breeze","n.微风，和风","briːz","",1
"brighten","vt.使发光；使快活","ˈbraitn","",1
"brim","n.边，边缘；帽沿","brim","",1
"brisk","a.活泼的；清新的","brisk","",1
"bristle","n.短而硬的毛；鬃毛","ˈbrisl","",1
"brittle","a.脆的；易损坏的","ˈbritl","",1
"bronze","n.青铜；青铜制品","brɔnz","",1
"brood","n.同窝幼鸟 vt.孵(蛋)","bruːd","",1
"brook","n.小河，溪流","bruk","",1
"brow","n.额；眉，眉毛","brau","",1
"bruise","n.青肿，伤痕；擦伤","bruːz","",1
"brute","n.禽兽，畜生","bruːt","",1
"bubble","n.泡 vi.冒泡，沸腾","ˈbʌbl","",1
"bud","n.芽，萌芽；蓓蕾","bʌd","",1
"bulb","n.电灯泡；球状物","bʌlb","",1
"bulk","n.物体，容积，大批","bʌlk","",1
"bull","n.公牛；雄的象","bul","",1
"bullet","n.枪弹，子弹，弹丸","ˈbulit","",1
"bundle","n.捆，包，束；包袱","ˈbʌndl","",1
"bureau","n.局，司，处；社，所","bjuəˈrəu","",1
"cabin","n.小屋；船舱，机舱","ˈkæbin","",1
"cabinet","n.橱，柜；内阁","ˈkæbinit","",1
"cable","n.缆，索；电缆；电报","ˈkeibl","",1
"cafe","n.咖啡馆；小餐厅","ˈkæfei","",1
"calendar","n.日历，历书；历法","ˈkælində","",1
"campus","n.校园，学校场地","ˈkæmpəs","",1
"canvas","n.粗帆布；一块油画布","ˈkænvəs","",1
"captive","n.俘虏，被监禁的人","ˈkæptiv","",1
"career","n.生涯，职业，经历","kəˈriə","",1
"cargo","n.船货，货物","ˈkɑːgəu","",1
"cart","n.二轮运货马车","kɑːt","",1
"cassette","n.盒式录音带；盒子","kɑːˈset","",1
"cement","n.水泥；胶泥 vt.粘结","siˈment","",1
"certainty","n.必然；肯定","ˈsəːtənti","",1
"chamber","n.会议室；房间；腔","ˈt∫eimbə","",1
"charity","n.施舍；慈善事业","ˈt∫æriti","",1
"charming","a.迷人的，可爱的","ˈt∫ɑːmiŋ","",1
"chase","n.追逐，追赶，追求","t∫eis","",1
"cherry","n.樱桃；樱桃树","ˈt∫eri","",1
"childish","a.孩子的；幼稚的","ˈt∫aildi∫","",1
"chill","vt.使变冷 n.寒冷","t∫il","",1
"chin","n.颏，下巴","t∫in","",1
"chop","vt.砍，劈；切细 vi.砍","t∫ɔp","",1
"circular","a.圆的；循环的","ˈsəːkjulə","",1
"circumference","n.圆周，周长，圆周线","səˈkʌmfərəns","",1
"civilize","vt.使文明；教育","ˈsivilaiz","",1
"clasp","n.扣子，钩子；别针","klɑːsp","",1
"cliff","n.悬崖，峭壁","klif","",1
"cloak","n.斗篷；覆盖(物)","kləuk","",1
"closely","ad.紧密地，接近地","ˈkləuzli","",1
"clothe","vt.给…穿衣服","kləuð","",1
"clue","n.线索，暗示，提示","kluː","",1
"coarse","a.粗的，粗糙的","kɔːs","",1
"coil","n.(一)卷；线圈 vt.卷","kɔil","",1
"collapse","vi.倒坍；崩溃，瓦解","kəˈlæps","",1
"colonel","n.陆军上校；中校","ˈkəːnl","",1
"colony","n.殖民地；侨居地","ˈkɔləni","",1
"commander","n.司令官，指挥员","kəˈmɑːndə","",1
"commerce","n.商业，贸易；社交","ˈkɔmə(ː)s","",1
"commercial","a.商业的；商品化的","kəˈməː∫əl","",1
"commission","n.委任状；委员会","kəˈmi∫ən","",1
"commonly","ad.普通地，一般地","ˈkɔmənli","",1
"comparative","a.比较的，相对的","kəmˈpærətiv","",1
"competent","a.有能力的；应该做的","ˈkɔmpitənt","",1
"compile","vt.编辑，编制，搜集","kəmˈpail","",1
"complaint","n.抱怨；怨言；控告","kəmˈpleint","",1
"completely","ad.十分，完全地","kəmˈpliːtli","",1
"complicate","vt.使复杂；使陷入","ˈkɔmplikeit","",1
"complicated","a.复杂的，难懂的","ˈkɔmplikeitid","",1
"compound","n.化合物；复合词","ˈkɔmpaund","",1
"compress","vt.压紧，压缩","kəmˈpres","",1
"compute","vt.计算，估计，估算","kəmˈpjuːt","",1
"conceal","vt.把…隐藏起来","kənˈsiːl","",1
"concentration","n.集中;专注;浓缩","ˌkɔnsenˈtrei∫ən","",1
"concerning","prep.关于","kənˈsəːniŋ","",1
"condense","vt.压缩，使缩短","kənˈdens","",1
"confess","vt.供认，承认；坦白","kənˈfes","",1
"confidence","n.信任；信赖；信心","ˈkɔnfidəns","",1
"confine","vt.限制；禁闭","ˈkɔnfain","",1
"confusion","n.混乱；骚乱；混淆","kənˈfjuːʒən","",1
"congress","n.大会；国会，议会","ˈkɔŋgres","",1
"conjunction","n.接合,连接(词)","kənˈdʒʌŋk∫ən","",1
"conquer","vt.征服，战胜；破除","ˈkɔŋkə","",1
"conquest","n.攻取，征服；克服","ˈkɔŋkwest","",1
"consciousness","n.意识,觉悟;知觉","ˈkɔn∫əsnis","",1
"consent","n.同意，赞成 vi.同意","kənˈsent","",1
"consequently","ad.因此/而,所以","ˈkɔnsikwəntli","",1
"contempt","n.轻蔑；藐视；受辱","kənˈtempt","",1
"contest","vt.争夺，争取；辩驳","ˈkɔntest","",1
"continual","a.不断的；连续的","kənˈtinjuəl","",1
"conversely","ad.相反地","ˈkɔnvəːsli","",1
"cooperate","vi.合作，协作；配合","kəuˈɔpəreit","",1
"cope","vi.对付，应付","kəup","",1
"copper","n.铜；铜币，铜制器","ˈkɔpə","",1
"cord","n.细绳，粗线，索","kɔːd","",1
"cordial","a.真诚的，诚恳的","ˈkɔːrdʒəl","",1
"correspondent","n.通信者;通讯员","ˌkɔrisˈpɔndənt","",1
"corresponding","a.相应的;符合的","ˌkɔrisˈpɔndiŋ","",1
"corridor","n.走廊，回廊，通路","ˈkɔridɔː","",1
"costly","a.昂贵的；价值高的","ˈkɔstli","",1
"council","n.理事会，委员会","ˈkaunsil","",1
"county","n.英国的郡，美国的县","ˈkaunti","",1
"coward","n.懦夫；胆怯者","ˈkauəd","",1
"crack","n.裂缝，裂纹 vi.爆裂","kræk","",1
"crane","n.起重机，摄影升降机","krein","",1
"crawl","vi.爬，爬行","krɔːl","",1
"creep","vi.爬行；缓慢地行进","kriːp","",1
"cricket","n.板球；蟋蟀","ˈkrikit","",1
"cripple","n.跛子；残废的人","ˈkripl","",1
"crisis","n.危机；存亡之际","ˈkraisis","",1
"critic","n.批评家，爱挑剔的人","ˈkritik","",1
"criticism","n.批评；批判；评论","ˈkritisiz(ə)m","",1
"criticize","vt.批评；评论；非难","ˈkritisaiz","",1
"crow","n.鸦，乌鸦 vi.啼","krəu","",1
"crown","n.王冠，冕；花冠","kraun","",1
"crude","a.简陋的；天然的","kruːd","",1
"crush","vt.压碎，碾碎；镇压","krʌ∫","",1
"crust","n.面包皮；硬外皮","krʌst","",1
"crystal","n.水晶，结晶体；晶粒","ˈkristl","",1
"cucumber","n.黄瓜","ˈkjuːkʌmbə","",1
"cunning","a.狡猾的，狡诈的","ˈkʌniŋ","",1
"curiosity","n.好奇，好奇心；珍品","ˌkjuəriˈɔsiti","",1
"curl","n.卷毛；螺旋 vi.卷曲","kəːl","",1
"curse","n.诅咒，咒骂；天谴","kəːs","",1
"curve","n.曲线；弯 vt.弄弯","kəːv","",1
"dairy","n.牛奶场；乳制品","ˈdeəri","",1
"daring","a.大胆的，勇敢的","ˈdeəriŋ","",1
"darling","n.亲爱的人；宠儿","ˈdɑːliŋ","",1
"deadly","a.致命的，死一般的","ˈdedli","",1
"decay","vi.腐烂；衰败 n.腐烂","diˈkei","",1
"deceit","n.欺骗，欺诈","diˈsiːt","",1
"deceive","vt.欺骗，蒙蔽，行骗","diˈsiːv","",1
"decent","a.正派的；体面的","ˈdiːsnt","",1
"deck","n.甲板；舱面；层面","dek","",1
"deduce","vt.演绎，推论，推断","diˈdjuːs","",1
"deepen","vt.加深 vi.深化","ˈdiːpən","",1
"defect","n.缺点，缺陷，欠缺","diˈfekt","",1
"defence","n.防御；防务；辩护","diˈfens","",1
"definitely","ad.一定地，明确地","ˈdefinitli","",1
"democracy","n.民主，民主制","diˈmɔkrəsi","",1
"democratic","a.民主的，民主政体的","ˌdeməˈkrætik","",1
"dense","a.密集的；浓厚的","dens","",1
"density","n.密集，稠密；密度","ˈdensiti","",1
"deny","vt.否定；拒绝相信","diˈnai","",1
"depress","vt.使沮丧；按下","diˈpres","",1
"descend","vi.下来，下降；下倾","diˈsend","",1
"desirable","a.值得相望的；可取的","diˈzaiərəbl","",1
